student_id,cgpa_sem1,cgpa_sem2,cgpa_sem3
199,9.56,9.67,9.78
200,6.23,6.45,6.67
201,3.89,4.23,4.56
202,8.91,9.01,9.12
203,7.34,7.67,7.98
204,5.01,4.89,5.23
205,9.45,9.56,9.67
206,6.78,6.45,6.23
207,4.34,4.67,5.01
208,8.67,8.78,8.91
209,7.12,7.45,7.78
210,5.45,5.67,5.89
211,9.89,9.95,10.00
212,6.59,6.88,7.12
213,3.56,3.89,4.23
214,8.23,8.34,8.45
215,7.98,8.23,8.45
216,5.89,6.12,6.34
217,9.34,9.45,9.56
218,6.45,6.23,6.01
219,4.67,5.01,5.34
220,8.56,8.67,8.78
221,7.67,7.45,7.23
222,5.23,5.56,5.89
223,9.78,9.89,9.95
224,6.34,6.59,6.88
225,3.78,4.12,4.45
226,8.45,8.56,8.67
227,7.89,8.12,8.34
228,5.12,4.89,5.23
229,9.67,9.78,9.89
230,6.88,7.12,7.34
231,4.23,4.56,4.89
232,8.91,9.01,9.12
233,7.56,7.89,8.12
234,5.34,5.67,5.89
235,9.23,9.34,9.45
236,6.59,6.34,6.12
237,4.56,4.89,5.23
238,8.34,8.45,8.56
239,7.45,7.78,8.01
240,5.67,5.45,5.23
241,9.56,9.67,9.78
242,6.23,6.45,6.67
243,3.89,4.23,4.56
244,8.78,8.91,9.01
245,7.34,7.67,7.98
246,5.01,4.89,5.23
247,9.45,9.56,9.67
248,6.78,7.01,7.23
249,4.45,4.78,5.12
250,8.67,8.78,8.91
251,7.89,8.12,8.34
252,5.23,5.56,5.89
253,9.89,9.95,10.00
254,6.45,6.67,6.89
255,3.67,3.89,4.23
256,8.23,8.34,8.45
257,7.12,7.45,7.78
258,5.89,6.12,6.34
259,9.34,9.45,9.56
260,6.59,6.88,7.12
261,4.34,4.67,5.01
262,8.56,8.67,8.78
263,7.98,8.23,8.45
264,5.45,5.23,5.01
265,9.78,9.89,9.95
266,6.34,6.01,5.78
267,3.78,4.12,4.45
268,8.91,9.01,9.12
269,7.56,7.89,8.12
270,5.67,5.89,6.12
271,9.67,9.78,9.89
272,6.88,7.12,7.34
273,4.23,4.56,4.89
274,8.45,8.56,8.67
275,7.34,7.67,7.98
276,5.12,4.89,5.23
277,9.23,9.34,9.45
278,6.23,6.45,6.67
279,4.56,4.89,5.23
280,8.78,8.91,9.01
281,7.89,8.12,8.34
282,5.34,5.67,5.89
283,9.56,9.67,9.78
284,6.78,7.01,7.23
285,3.89,4.23,4.56
286,8.67,8.78,8.91
287,7.45,7.78,8.01
288,5.01,4.89,5.23
289,9.45,9.56,9.67
290,6.59,6.88,7.12
291,4.67,5.01,5.34
292,8.34,8.45,8.56
293,7.12,7.45,7.78
294,5.89,6.12,6.34
295,9.89,9.95,10.00
296,6.45,6.23,6.01
297,3.56,3.89,4.23
298,8.23,8.34,8.45
299,7.98,8.23,8.45
300,5.23,5.56,5.89
301,9.34,9.45,9.56
302,6.88,7.12,7.34
303,4.45,4.78,5.12
304,8.56,8.67,8.78
305,7.67,7.45,7.23
306,5.67,5.89,6.12
307,9.78,9.89,9.95
308,6.34,6.59,6.88
309,3.78,4.12,4.45
310,8.91,9.01,9.12
311,7.56,7.89,8.12
312,5.45,5.23,5.01
313,9.67,9.78,9.89
314,6.23,6.45,6.67
315,4.23,4.56,4.89
316,8.45,8.56,8.67
317,7.34,7.67,7.98
318,5.12,4.89,5.23
319,9.23,9.34,9.45
320,6.78,7.01,7.23
321,3.89,4.23,4.56
322,8.67,8.78,8.91
323,7.89,8.12,8.34
324,5.34,5.67,5.89
325,9.56,9.67,9.78
326,6.59,6.34,6.12
327,4.56,4.89,5.23
328,8.34,8.45,8.56
329,7.45,7.78,8.01
330,5.01,4.89,5.23
331,9.45,9.56,9.67
332,6.88,7.12,7.34
333,3.67,3.89,4.23
334,8.23,8.34,8.45
335,7.12,7.45,7.78
336,5.89,6.12,6.34
337,9.89,9.95,10.00
338,6.45,6.67,6.89
339,4.34,4.67,5.01
340,8.91,9.01,9.12
341,7.98,8.23,8.45
342,5.23,5.56,5.89
343,9.34,9.45,9.56
344,6.78,6.45,6.23
345,3.78,4.12,4.45
346,8.56,8.67,8.78
347,7.56,7.89,8.12
348,5.67,5.89,6.12
349,9.78,9.89,9.95
350,6.23,6.45,6.67
351,4.45,4.78,5.12
352,8.45,8.56,8.67
353,7.34,7.67,7.98
354,5.12,4.89,5.23
355,9.67,9.78,9.89
356,6.88,7.12,7.34
357,3.89,4.23,4.56
358,8.91,9.01,9.12
359,7.89,8.12,8.34
360,5.34,5.67,5.89
361,9.56,9.67,9.78
362,6.59,6.34,6.12
363,4.56,4.89,5.23
364,8.34,8.45,8.56
365,7.45,7.78,8.01
366,5.01,4.89,5.23
367,9.45,9.56,9.67
368,6.78,7.01,7.23
369,3.56,3.89,4.23
370,8.23,8.34,8.45
371,7.12,7.45,7.78
372,5.89,6.12,6.34
373,9.89,9.95,10.00
374,6.45,6.23,6.01
375,4.23,4.56,4.89
376,8.67,8.78,8.91
377,7.98,8.23,8.45
378,5.23,5.56,5.89
379,9.34,9.45,9.56
380,6.88,7.12,7.34
381,3.78,4.12,4.45
382,8.56,8.67,8.78
383,7.56,7.89,8.12
384,5.67,5.89,6.12
385,9.78,9.89,9.95
386,6.34,6.59,6.88
387,4.45,4.78,5.12
388,8.45,8.56,8.67
389,7.34,7.67,7.98
390,5.12,4.89,5.23
391,9.23,9.34,9.45
392,6.78,7.01,7.23
393,3.89,4.23,4.56
394,8.91,9.01,9.12
395,7.89,8.12,8.34
396,5.34,5.67,5.89
397,9.67,9.78,9.89
398,6.59,6.88,7.12
399,4.56,4.89,5.23
400,8.34,8.45,8.56
401,7.45,7.78,8.01
402,5.01,4.89,5.23
403,9.45,9.56,9.67
404,6.88,7.12,7.34
405,3.67,3.89,4.23
406,8.23,8.34,8.45
407,7.12,7.45,7.78
408,5.89,6.12,6.34
409,9.89,9.95,10.00
410,6.45,6.67,6.89
411,4.34,4.67,5.01
412,8.67,8.78,8.91
413,7.98,8.23,8.45
414,5.23,5.56,5.89
415,9.34,9.45,9.56
416,6.78,6.45,6.23
417,3.78,4.12,4.45
418,8.56,8.67,8.78
419,7.56,7.89,8.12
420,5.67,5.89,6.12
421,9.78,9.89,9.95
422,6.23,6.45,6.67
423,4.45,4.78,5.12
424,8.45,8.56,8.67
425,7.34,7.67,7.98
426,5.12,4.89,5.23
427,9.67,9.78,9.89
428,6.88,7.12,7.34
429,3.89,4.23,4.56
430,8.91,9.01,9.12
431,7.89,8.12,8.34
432,5.34,5.67,5.89
433,9.56,9.67,9.78
434,6.59,6.34,6.12
435,4.56,4.89,5.23
436,8.34,8.45,8.56
437,7.45,7.78,8.01
438,5.01,4.89,5.23
439,9.45,9.56,9.67
440,6.78,7.01,7.23
441,3.56,3.89,4.23
442,8.23,8.34,8.45
443,7.12,7.45,7.78
444,5.89,6.12,6.34
445,9.89,9.95,10.00
446,6.45,6.23,6.01
447,4.23,4.56,4.89
448,8.67,8.78,8.91
449,7.98,8.23,8.45
450,5.23,5.56,5.89
451,9.34,9.45,9.56
452,6.88,7.12,7.34
453,3.78,4.12,4.45
454,8.56,8.67,8.78
455,7.56,7.89,8.12
456,5.67,5.89,6.12
457,9.78,9.89,9.95
458,6.34,6.59,6.88
459,4.45,4.78,5.12
460,8.45,8.56,8.67
461,7.34,7.67,7.98
462,5.12,4.89,5.23
463,9.67,9.78,9.89
464,6.78,7.01,7.23
465,3.89,4.23,4.56
466,8.91,9.01,9.12
467,7.89,8.12,8.34
468,5.34,5.67,5.89
469,9.56,9.67,9.78
470,6.59,6.34,6.12
471,4.56,4.89,5.23
472,8.34,8.45,8.56
473,7.45,7.78,8.01
474,5.01,4.89,5.23
475,9.45,9.56,9.67
476,6.88,7.12,7.34
477,3.67,3.89,4.23
478,8.23,8.34,8.45
479,7.12,7.45,7.78
480,5.89,6.12,6.34
481,9.89,9.95,10.00
482,6.45,6.67,6.89
483,4.34,4.67,5.01
484,8.67,8.78,8.91
485,7.98,8.23,8.45
486,5.23,5.56,5.89
487,9.34,9.45,9.56
488,6.78,6.45,6.23
489,3.78,4.12,4.45
490,8.56,8.67,8.78
491,7.56,7.89,8.12
492,5.67,5.89,6.12
493,9.78,9.89,9.95
494,6.23,6.45,6.67
495,4.45,4.78,5.12
496,8.45,8.56,8.67
497,7.34,7.67,7.98
498,5.12,4.89,5.23
499,9.67,9.78,9.89
500,6.88,7.12,7.34
501,7.45,7.78,8.01
502,5.67,5.89,6.12
503,9.12,9.34,9.56
504,6.59,6.88,7.12
505,4.56,4.89,5.23
506,8.34,8.45,8.56
507,7.89,8.12,8.34
508,5.34,5.67,5.89
509,9.56,9.67,9.78
510,6.78,7.01,7.23
511,3.89,4.23,4.56
512,8.91,9.01,9.12
513,7.56,7.89,8.12
514,5.45,5.23,5.01
515,9.78,9.89,9.95
516,6.45,6.23,6.01
517,4.23,4.56,4.89
518,8.67,8.78,8.91
519,7.98,8.23,8.45
520,5.23,5.56,5.89
521,9.34,9.45,9.56
522,6.88,7.12,7.34
523,3.78,4.12,4.45
524,8.56,8.67,8.78
525,7.56,7.89,8.12
526,5.67,5.89,6.12
527,9.78,9.89,9.95
528,6.34,6.59,6.88
529,4.45,4.78,5.12
530,8.45,8.56,8.67
531,7.34,7.67,7.98
532,5.12,4.89,5.23
533,9.67,9.78,9.89
534,6.88,7.12,7.34
535,3.89,4.23,4.56
536,8.91,9.01,9.12
537,7.89,8.12,8.34
538,5.34,5.67,5.89
539,9.56,9.67,9.78
540,6.59,6.34,6.12
541,4.56,4.89,5.23
542,8.34,8.45,8.56
543,7.45,7.78,8.01
544,5.01,4.89,5.23
545,9.45,9.56,9.67
546,6.78,7.01,7.23
547,3.67,3.89,4.23
548,8.23,8.34,8.45
549,7.12,7.45,7.78
550,5.89,6.12,6.34
551,9.89,9.95,10.00
552,6.45,6.67,6.89
553,4.34,4.67,5.01
554,8.67,8.78,8.91
555,7.98,8.23,8.45
556,5.23,5.56,5.89
557,9.34,9.45,9.56
558,6.88,7.12,7.34
559,3.78,4.12,4.45
560,8.56,8.67,8.78
561,7.56,7.89,8.12
562,5.67,5.89,6.12
563,9.78,9.89,9.95
564,6.23,6.45,6.67
565,4.45,4.78,5.12
566,8.45,8.56,8.67
567,7.34,7.67,7.98
568,5.12,4.89,5.23
569,9.67,9.78,9.89
570,6.88,7.12,7.34
571,3.89,4.23,4.56
572,8.91,9.01,9.12
573,7.89,8.12,8.34
574,5.34,5.67,5.89
575,9.56,9.67,9.78
576,6.59,6.34,6.12
577,4.56,4.89,5.23
578,8.34,8.45,8.56
579,7.45,7.78,8.01
580,5.01,4.89,5.23
581,9.45,9.56,9.67
582,6.78,7.01,7.23
583,3.56,3.89,4.23
584,8.23,8.34,8.45
585,7.12,7.45,7.78
586,5.89,6.12,6.34
587,9.89,9.95,10.00
588,6.45,6.67,6.89
589,4.34,4.67,5.01
590,8.67,8.78,8.91
591,7.98,8.23,8.45
592,5.23,5.56,5.89
593,9.34,9.45,9.56
594,6.88,7.12,7.34
595,3.78,4.12,4.45
596,8.56,8.67,8.78
597,7.56,7.89,8.12
598,5.67,5.89,6.12
599,9.78,9.89,9.95
600,6.34,6.59,6.88
601,7.45,7.78,8.01
602,5.67,5.89,6.12
603,9.12,9.34,9.56
604,6.59,6.88,7.12
605,4.56,4.89,5.23
606,8.34,8.45,8.56
607,7.89,8.12,8.34
608,5.34,5.67,5.89
609,9.56,9.67,9.78
610,6.78,6.34,6.12
611,4.45,4.78,5.12
612,8.45,8.56,8.67
613,7.34,7.67,7.98
614,5.12,4.89,5.23
615,9.67,9.78,9.89
616,6.88,7.12,7.34
617,3.89,4.23,4.56
618,8.91,9.01,9.12
619,7.89,8.12,8.34
620,5.34,5.67,5.89
621,9.56,9.67,9.78
622,6.59,6.34,6.12
623,4.56,4.89,5.23
624,8.34,8.45,8.56
625,7.45,7.78,8.01
626,5.01,4.89,5.23
627,9.45,9.56,9.67
628,6.78,7.01,7.23
629,3.67,3.89,4.23
630,8.23,8.34,8.45
631,7.12,7.45,7.78
632,5.89,6.12,6.34
633,9.89,9.95,10.00
634,6.45,6.67,6.89
635,4.34,4.67,5.01
636,8.67,8.78,8.91
637,7.98,8.23,8.45
638,5.23,5.56,5.89
639,9.34,9.45,9.56
640,6.88,7.12,7.34
641,3.78,4.12,4.45
642,8.56,8.67,8.78
643,7.56,7.89,8.12
644,5.67,5.89,6.12
645,9.78,9.89,9.95
646,6.23,6.45,6.67
647,4.45,4.78,5.12
648,8.45,8.56,8.67
649,7.34,7.67,7.98
650,5.12,4.89,5.23
651,9.67,9.78,9.89
652,6.88,7.12,7.34
653,3.89,4.23,4.56
654,8.91,9.01,9.12
655,7.89,8.12,8.34
656,5.34,5.67,5.89
657,9.56,9.67,9.78
658,6.59,6.34,6.12
659,4.56,4.89,5.23
660,8.34,8.45,8.56
661,7.45,7.78,8.01
662,5.01,4.89,5.23
663,9.45,9.56,9.67
664,6.78,7.01,7.23
665,3.67,3.89,4.23
666,8.23,8.34,8.45
667,7.12,7.45,7.78
668,5.89,6.12,6.34
669,9.89,9.95,10.00
670,6.45,6.67,6.89
671,4.34,4.67,5.01
672,8.67,8.78,8.91
673,7.98,8.23,8.45
674,5.23,5.56,5.89
675,9.34,9.45,9.56
676,6.88,7.12,7.34
677,3.78,4.12,4.45
678,8.56,8.67,8.78
679,7.56,7.89,8.12
680,5.67,5.89,6.12
681,9.78,9.89,9.95
682,6.34,6.59,6.88
683,4.45,4.78,5.12
684,8.45,8.56,8.67
685,7.34,7.67,7.98
686,5.12,4.89,5.23
687,9.67,9.78,9.89
688,6.88,7.12,7.34
689,3.89,4.23,4.56
690,8.91,9.01,9.12
691,7.89,8.12,8.34
692,5.34,5.67,5.89
693,9.56,9.67,9.78
694,6.59,6.34,6.12
695,4.56,4.89,5.23
696,8.34,8.45,8.56
697,7.45,7.78,8.01
698,5.01,4.89,5.23
699,9.45,9.56,9.67
700,6.78,7.01,7.23
701,7.89,8.12,8.34
702,5.67,5.89,6.12
703,9.12,9.34,9.56
704,6.59,6.88,7.12
705,4.56,4.89,5.23
706,8.34,8.45,8.56
707,7.89,8.12,8.34
708,5.34,5.67,5.89
709,9.56,9.67,9.78
710,6.78,7.01,7.23
711,3.78,4.12,4.45
712,8.56,8.67,8.78
713,7.56,7.89,8.12
714,5.67,5.89,6.12
715,9.78,9.89,9.95
716,6.34,6.59,6.88
717,4.45,4.78,5.12
718,8.45,8.56,8.67
719,7.34,7.67,7.98
720,5.12,4.89,5.23
721,9.67,9.78,9.89
722,6.88,7.12,7.34
723,3.89,4.23,4.56
724,8.91,9.01,9.12
725,7.89,8.12,8.34
726,5.34,5.67,5.89
727,9.56,9.67,9.78
728,6.59,6.34,6.12
729,4.56,4.89,5.23
730,8.34,8.45,8.56
731,7.45,7.78,8.01
732,5.01,4.89,5.23
733,9.45,9.56,9.67
734,6.78,7.01,7.23
735,3.67,3.89,4.23
736,8.23,8.34,8.45
737,7.12,7.45,7.78
738,5.89,6.12,6.34
739,9.89,9.95,10.00
740,6.45,6.67,6.89
741,4.34,4.67,5.01
742,8.67,8.78,8.91
743,7.98,8.23,8.45
744,5.23,5.56,5.89
745,9.34,9.45,9.56
746,6.88,7.12,7.34
747,3.78,4.12,4.45
748,8.56,8.67,8.78
749,7.56,7.89,8.12
750,5.67,5.89,6.12
751,9.78,9.89,9.95
752,6.34,6.59,6.88
753,4.45,4.78,5.12
754,8.45,8.56,8.67
755,7.34,7.67,7.98
756,5.12,4.89,5.23
757,9.67,9.78,9.89
758,6.88,7.12,7.34
759,3.89,4.23,4.56
760,8.91,9.01,9.12
761,7.89,8.12,8.34
762,5.34,5.67,5.89
763,9.56,9.67,9.78
764,6.59,6.34,6.12
765,4.56,4.89,5.23
766,8.34,8.45,8.56
767,7.45,7.78,8.01
768,5.01,4.89,5.23
769,9.45,9.56,9.67
770,6.78,7.01,7.23
771,3.67,3.89,4.23
772,8.23,8.34,8.45
773,7.12,7.45,7.78
774,5.89,6.12,6.34
775,9.89,9.95,10.00
776,6.45,6.67,6.89
777,4.34,4.67,5.01
778,8.67,8.78,8.91
779,7.98,8.23,8.45
780,5.23,5.56,5.89
781,9.34,9.45,9.56
782,6.88,7.12,7.34
783,3.78,4.12,4.45
784,8.56,8.67,8.78
785,7.56,7.89,8.12
786,5.67,5.89,6.12
787,9.78,9.89,9.95
788,6.34,6.59,6.88
789,4.45,4.78,5.12
790,8.45,8.56,8.67
791,7.34,7.67,7.98
792,5.12,4.89,5.23
793,9.67,9.78,9.89
794,6.88,7.12,7.34
795,3.89,4.23,4.56
796,8.91,9.01,9.12
797,7.89,8.12,8.34
798,5.34,5.67,5.89
799,9.56,9.67,9.78
800,6.59,6.34,6.12
801,4.56,4.89,5.23
802,8.34,8.45,8.56
803,7.45,7.78,8.01
804,5.01,4.89,5.23
805,9.45,9.56,9.67
806,6.78,7.01,7.23
807,3.67,3.89,4.23
808,8.23,8.34,8.45
809,7.12,7.45,7.78
810,5.89,6.12,6.34
811,9.89,9.95,10.00
812,6.45,6.67,6.89
813,4.34,4.67,5.01
814,8.67,8.78,8.91
815,7.98,8.23,8.45
816,5.23,5.56,5.89
817,9.34,9.45,9.56
818,6.88,7.12,7.34
819,3.78,4.12,4.45
820,8.56,8.67,8.78
821,7.56,7.89,8.12
822,5.67,5.89,6.12
823,9.78,9.89,9.95
824,6.34,6.59,6.88
825,4.45,4.78,5.12
826,8.45,8.56,8.67
827,7.34,7.67,7.98
828,5.12,4.89,5.23
829,9.67,9.78,9.89
830,6.88,7.12,7.34
831,3.89,4.23,4.56
832,8.91,9.01,9.12
833,7.89,8.12,8.34
834,5.34,5.67,5.89
835,9.56,9.67,9.78
836,6.59,6.34,6.12
837,4.56,4.89,5.23
838,8.34,8.45,8.56
839,7.45,7.78,8.01
840,5.01,4.89,5.23
841,9.45,9.56,9.67
842,6.78,7.01,7.23
843,3.67,3.89,4.23
844,8.23,8.34,8.45
845,7.12,7.45,7.78
846,5.89,6.12,6.34
847,9.89,9.95,10.00
848,6.45,6.67,6.89
849,4.34,4.67,5.01
850,8.67,8.78,8.91
851,7.98,8.23,8.45
852,5.23,5.56,5.89
853,9.34,9.45,9.56
854,6.88,7.12,7.34
855,3.78,4.12,4.45
856,8.56,8.67,8.78
857,7.56,7.89,8.12
858,5.67,5.89,6.12
859,9.78,9.89,9.95
860,6.34,6.59,6.88
861,4.45,4.78,5.12
862,8.45,8.56,8.67
863,7.34,7.67,7.98
864,5.12,4.89,5.23
865,9.67,9.78,9.89
866,6.88,7.12,7.34
867,3.89,4.23,4.56
868,8.91,9.01,9.12
869,7.89,8.12,8.34
870,5.34,5.67,5.89
871,9.56,9.67,9.78
872,6.59,6.34,6.12
873,4.56,4.89,5.23
874,8.34,8.45,8.56
875,7.45,7.78,8.01
876,5.01,4.89,5.23
877,9.45,9.56,9.67
878,6.78,7.01,7.23
879,3.67,3.89,4.23
880,8.23,8.34,8.45
881,7.12,7.45,7.78
882,5.89,6.12,6.34
883,9.89,9.95,10.00
884,6.45,6.67,6.89
885,4.34,4.67,5.01
886,8.67,8.78,8.91
887,7.98,8.23,8.45
888,5.23,5.56,5.89
889,9.34,9.45,9.56
890,6.88,7.12,7.34
891,3.78,4.12,4.45
892,8.56,8.67,8.78
893,7.56,7.89,8.12
894,5.67,5.89,6.12
895,9.78,9.89,9.95
896,6.34,6.59,6.88
897,4.45,4.78,5.12
898,8.45,8.56,8.67
899,7.34,7.67,7.98
900,5.12,4.89,5.23
901,9.67,9.78,9.89
902,6.88,7.12,7.34
903,3.89,4.23,4.56
904,8.91,9.01,9.12
905,7.89,8.12,8.34
906,5.34,5.67,5.89
907,9.56,9.67,9.78
908,6.59,6.34,6.12
909,4.56,4.89,5.23
910,8.34,8.45,8.56
911,7.45,7.78,8.01
912,5.01,4.89,5.23
913,9.45,9.56,9.67
914,6.78,7.01,7.23
915,3.67,3.89,4.23
916,8.23,8.34,8.45
917,7.12,7.45,7.78
918,5.89,6.12,6.34
919,9.89,9.95,10.00
920,6.45,6.67,6.89
921,4.34,4.67,5.01
922,8.67,8.78,8.91
923,7.98,8.23,8.45
924,5.23,5.56,5.89
925,9.34,9.45,9.56
926,6.88,7.12,7.34
927,3.78,4.12,4.45
928,8.56,8.67,8.78
929,7.56,7.89,8.12
930,5.67,5.89,6.12
931,9.78,9.89,9.95
932,6.34,6.59,6.88
933,4.45,4.78,5.12
934,8.45,8.56,8.67
935,7.34,7.67,7.98
936,5.12,4.89,5.23
937,9.67,9.78,9.89
938,6.88,7.12,7.34
939,3.89,4.23,4.56
940,8.91,9.01,9.12
941,7.89,8.12,8.34
942,5.34,5.67,5.89
943,9.56,9.67,9.78
944,6.59,6.34,6.12
945,4.56,4.89,5.23
946,8.34,8.45,8.56
947,7.45,7.78,8.01
948,5.01,4.89,5.23
949,9.45,9.56,9.67
950,6.78,7.01,7.23
951,3.67,3.89,4.23
952,8.23,8.34,8.45
953,7.12,7.45,7.78
954,5.89,6.12,6.34
955,9.89,9.95,10.00
956,6.45,6.67,6.89
957,4.34,4.67,5.01
958,8.67,8.78,8.91
959,7.98,8.23,8.45
960,5.23,5.56,5.89
961,9.34,9.45,9.56
962,6.88,7.12,7.34
963,3.78,4.12,4.45
964,8.56,8.67,8.78
965,7.56,7.89,8.12
966,5.67,5.89,6.12
967,9.78,9.89,9.95
968,6.34,6.59,6.88
969,4.45,4.78,5.12
970,8.45,8.56,8.67
971,7.34,7.67,7.98
972,5.12,4.89,5.23
973,9.67,9.78,9.89
974,6.88,7.12,7.34
975,3.89,4.23,4.56
976,8.91,9.01,9.12
977,7.89,8.12,8.34
978,5.34,5.67,5.89
979,9.56,9.67,9.78
980,6.59,6.34,6.12
981,4.56,4.89,5.23
982,8.34,8.45,8.56
983,7.45,7.78,8.01
984,5.01,4.89,5.23
985,9.45,9.56,9.67
986,6.78,7.01,7.23
987,3.67,3.89,4.23
988,8.23,8.34,8.45
989,7.12,7.45,7.78
990,5.89,6.12,6.34
991,9.89,9.95,10.00
992,6.45,6.67,6.89
993,4.34,4.67,5.01
994,8.67,8.78,8.91
995,7.98,8.23,8.45
